rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,river_level_m,cumulative_rain_7d,flood
0.62,35.73,96.42,1.85,-1.8,7.72,0
13.41,26.11,57.62,9.94,4.85,5.18,0
16.98,37.79,64.94,23.71,3.5,6.65,0
0.25,22.35,87.22,18.98,0.53,8.07,0
10.76,38.15,72.76,5.82,1.52,9.09,0
3.85,28.14,72.82,25.96,0.69,7.89,0
15.54,28.79,43.2,20.29,4.3,10.33,0
2.87,20.55,63.92,7.36,0.09,15.87,0
17.61,27.73,56.24,17.77,4.94,12.63,0
7.33,24.8,99.96,53.19,3.23,12.36,0
41.41,26.96,58.5,18.12,11.71,10.2,0
2.22,29.31,93.07,42.84,1.21,15.87,0
6.26,34.79,80.57,36.72,0.91,15.67,0
1.81,31.04,60.45,25.63,0.35,16.14,0
38.79,31.54,72.61,14.34,11.96,16.18,0
31.48,24.52,90.43,22.14,8.45,18.39,0
4.47,25.6,93.0,35.53,0.03,21.89,0
16.18,38.99,49.62,21.05,5.35,19.38,0
25.49,26.32,60.37,12.89,8.77,14.31,0
12.15,38.28,60.11,6.99,3.57,9.93,0
11.31,28.78,42.52,52.79,2.94,14.35,0
4.15,30.01,75.89,26.42,1.4,16.3,0
1.47,35.35,91.29,37.51,0.5,16.66,0
34.13,36.36,62.89,29.42,10.48,15.33,0
34.6,29.45,84.4,52.35,7.85,13.56,0
15.04,28.06,77.66,32.82,3.44,19.26,0
6.21,29.72,62.54,28.85,1.02,25.21,0
6.44,31.69,48.46,55.48,2.08,23.55,0
19.42,34.46,82.56,43.18,6.01,20.64,0
34.11,30.02,91.27,6.69,10.87,21.1,0
32.72,33.09,81.15,10.66,10.07,22.59,0
22.7,38.19,41.07,47.23,5.51,19.85,0
15.41,31.91,52.97,50.15,6.07,19.29,0
1.32,31.56,44.17,32.71,1.67,18.37,0
2.64,22.41,74.22,33.27,-0.46,14.18,0
34.32,16.85,85.39,37.92,10.63,7.93,0
13.99,31.94,46.63,26.35,3.6,9.48,0
0.14,29.53,90.3,40.81,0.18,12.07,0
1.6,27.43,73.33,6.51,1.53,6.22,0
16.34,31.22,81.4,57.68,7.03,4.17,0
0.08,29.7,98.28,45.01,0.77,6.84,0
2.63,35.64,45.02,37.87,1.08,10.15,0
11.94,30.43,94.07,18.98,3.24,7.04,0
17.66,26.27,47.57,9.66,5.48,9.84,0
15.83,34.95,63.58,24.56,6.11,12.97,0
3.81,28.91,91.09,39.69,1.1,11.26,0
18.68,32.63,94.38,38.02,4.72,14.24,0
4.06,27.61,70.38,22.96,-0.4,10.9,0
5.9,26.75,75.65,36.8,2.28,12.26,0
20.59,30.42,82.49,48.82,6.42,17.33,0
15.73,30.06,89.97,1.58,4.07,15.5,0
28.38,32.4,47.29,27.04,9.54,12.02,0
16.08,28.66,88.6,45.51,4.4,12.93,0
12.6,20.82,68.88,32.77,3.65,15.38,0
1.48,27.84,67.04,39.09,0.43,8.75,0
6.88,33.97,65.43,31.0,1.71,16.16,0
4.62,28.51,70.55,59.51,1.62,12.11,0
4.2,28.77,96.7,3.28,2.41,16.03,0
54.18,34.93,72.89,29.46,15.11,18.55,0
7.49,26.44,97.19,5.48,2.74,16.17,0
33.39,22.29,50.82,9.59,10.19,18.28,0
14.96,29.2,83.45,22.98,4.64,22.62,0
23.76,27.58,88.73,9.33,8.0,14.72,0
10.48,25.17,80.75,57.82,3.19,17.55,0
12.9,29.12,76.42,56.81,4.35,10.32,0
10.17,32.46,73.89,20.17,3.77,13.24,0
3.26,29.95,91.66,38.38,0.47,6.01,0
19.23,31.53,89.3,32.03,6.07,8.79,0
4.94,39.07,47.34,48.94,1.23,5.94,0
0.37,28.29,90.92,37.65,-0.02,16.46,0
15.55,31.39,64.84,0.02,4.34,16.11,0
2.92,27.45,55.22,45.79,1.35,21.07,0
42.32,25.77,92.19,44.81,12.78,18.15,1
46.16,27.08,65.92,30.58,14.24,24.78,0
36.95,27.61,88.5,54.18,11.07,25.81,0
6.93,31.8,55.8,54.51,0.48,26.06,0
0.23,41.75,40.24,31.43,0.1,29.98,0
39.53,26.42,69.73,36.48,11.92,27.83,0
8.38,27.92,46.01,59.79,2.76,26.81,0
51.01,29.68,85.26,17.93,14.71,26.39,1
49.71,31.98,56.56,19.48,13.72,28.26,0
28.76,31.32,66.62,10.97,9.25,24.58,0
5.23,36.42,45.22,53.75,1.3,24.76,0
7.29,17.87,57.2,44.67,2.36,19.92,0
28.57,18.07,86.89,6.34,8.29,13.49,0
5.72,27.52,49.1,58.91,1.71,14.5,0
2.79,35.49,78.83,43.86,0.39,13.73,0
12.21,22.17,95.05,51.03,2.69,20.29,0
41.27,14.96,80.79,2.89,12.85,12.11,1
17.86,32.86,88.66,30.3,4.76,16.64,0
12.66,31.22,46.54,41.92,3.96,24.5,0
1.53,24.55,55.04,32.58,0.87,20.14,0
14.32,25.07,93.67,40.0,3.71,20.9,0
69.16,25.15,82.91,49.07,19.54,20.85,1
2.26,30.55,78.37,22.46,3.11,24.09,0
10.96,26.87,79.83,50.92,2.76,23.4,0
31.48,32.47,64.85,9.77,10.07,25.72,0
20.25,15.73,42.67,16.25,8.01,11.86,0
17.91,25.72,87.07,2.6,6.16,14.81,0
18.18,24.37,80.72,21.87,5.15,15.25,0
6.68,28.72,68.37,22.79,1.94,16.11,0
5.21,27.31,93.99,48.32,0.73,19.24,0
24.86,33.99,60.17,39.19,8.34,19.76,0
24.92,20.7,57.66,26.2,8.04,21.64,0
30.27,30.23,92.37,39.13,8.57,18.73,0
36.67,32.79,87.82,3.17,9.96,24.9,0
10.74,39.28,70.9,10.82,1.9,24.45,0
10.44,27.59,47.84,37.62,4.12,22.89,0
24.01,31.62,52.9,38.48,7.32,19.25,0
15.75,20.98,79.37,46.45,4.94,15.18,0
18.16,18.04,63.1,24.18,4.62,19.95,0
23.83,34.22,90.19,43.35,5.69,18.05,0
33.11,29.97,97.0,41.04,10.9,13.13,0
6.19,35.89,88.34,57.8,1.9,13.57,0
7.06,23.13,62.65,12.91,3.03,15.04,0
1.48,32.6,87.32,33.1,0.06,7.83,0
12.95,39.34,61.09,36.11,3.65,7.99,0
0.55,32.1,50.03,59.92,0.88,7.33,0
9.4,31.38,42.0,12.07,3.55,7.08,0
11.73,30.04,63.14,31.39,4.32,8.94,0
5.06,22.15,94.21,20.77,1.22,9.15,0
13.4,36.78,54.34,31.55,4.64,8.92,0
0.46,26.95,52.39,13.93,1.25,8.64,0
0.57,32.52,98.19,2.86,0.07,8.98,0
25.94,22.18,41.5,34.35,7.27,10.44,0
6.7,24.1,87.15,20.15,3.35,9.58,0
2.04,37.18,59.28,10.92,-0.04,9.68,0
11.08,28.26,42.25,19.44,3.95,7.86,0
22.04,37.27,95.07,2.96,6.55,7.23,0
3.65,29.61,48.38,57.03,-0.75,5.66,0
14.63,20.79,73.11,34.87,5.52,10.64,0
1.34,34.46,56.44,48.89,-2.36,8.87,0
0.8,27.05,43.91,25.39,-1.75,7.81,0
11.37,33.49,43.0,54.2,3.94,10.62,0
11.67,30.13,46.93,29.0,4.03,14.78,0
15.22,22.28,44.28,34.44,3.93,21.0,0
19.42,30.82,85.63,29.51,5.98,21.21,0
55.85,40.98,69.13,44.0,14.22,23.62,0
10.89,32.46,60.57,34.0,3.98,20.76,0
5.85,29.71,65.1,16.3,2.0,18.4,0
23.78,35.38,95.74,8.73,7.09,19.09,0
4.74,31.05,94.65,36.37,1.44,6.57,0
8.67,31.05,82.94,29.35,3.09,11.68,0
1.23,24.54,93.08,5.76,0.34,15.26,0
0.39,31.17,59.18,23.74,-1.76,16.66,0
49.31,35.18,62.87,30.89,16.99,14.54,0
27.12,25.82,76.82,49.61,9.34,14.92,0
17.86,37.12,77.42,4.57,4.07,12.22,0
7.89,29.54,68.9,20.91,2.02,16.95,0
2.85,25.56,64.04,49.36,0.62,7.61,0
2.55,34.99,99.17,38.91,1.84,7.6,0
4.32,28.57,89.27,17.4,-0.86,11.66,0
11.95,33.8,66.1,50.72,3.09,11.16,0
18.81,28.54,83.64,29.6,3.88,15.78,0
16.19,29.7,56.17,29.9,4.57,18.09,0
4.93,32.47,46.01,58.6,1.01,17.59,0
46.47,31.45,61.15,56.83,14.02,17.42,0
20.09,20.02,64.18,21.51,5.42,16.73,0
12.12,24.39,40.99,8.43,2.89,12.72,0
14.19,34.65,88.89,19.54,4.88,16.49,0
8.16,29.34,61.55,1.83,2.9,12.48,0
4.27,27.38,74.83,1.25,1.83,7.68,0
6.6,23.21,44.44,23.73,1.8,11.22,0
21.27,24.6,50.5,56.46,5.81,7.37,0
0.22,19.89,93.38,52.28,-0.05,6.46,0
1.85,29.49,76.52,30.69,1.06,7.64,0
0.71,27.01,97.02,33.91,-1.96,10.27,0
0.62,25.17,99.93,0.36,0.58,9.87,0
29.01,29.66,62.31,12.93,9.01,9.11,0
18.24,31.82,57.93,1.49,5.54,13.19,0
9.64,40.47,91.5,45.27,2.74,10.85,0
1.54,22.44,99.92,8.74,-2.1,10.57,0
10.15,35.8,77.78,52.14,2.6,9.92,0
9.62,34.87,87.71,38.6,4.68,4.61,0
2.85,26.1,86.9,13.77,0.87,9.66,0
8.53,31.02,61.32,9.46,2.25,7.15,0
7.63,27.71,74.46,37.66,2.3,9.68,0
14.35,30.93,89.98,54.05,4.66,6.73,0
15.12,37.55,81.29,43.1,5.2,10.68,0
0.7,33.03,41.27,20.91,-0.02,11.83,0
7.04,32.54,60.2,35.24,2.54,13.39,0
14.75,27.85,48.67,18.65,6.1,10.94,0
10.49,22.58,53.98,59.95,4.15,9.76,0
29.12,28.96,94.33,44.93,11.08,10.16,0
16.12,36.03,42.21,36.86,4.18,9.02,0
2.67,22.36,53.19,25.4,2.48,13.02,0
1.1,24.72,58.57,37.09,-0.46,11.37,0
15.43,30.63,77.01,20.5,4.98,10.76,0
0.4,25.08,72.05,1.73,0.85,15.47,0
13.22,26.04,53.1,23.71,3.46,11.83,0
42.26,27.88,49.85,55.83,12.77,15.79,0
12.85,23.17,54.21,37.58,4.77,12.74,0
7.37,25.13,70.15,5.04,1.5,11.99,0
15.46,33.52,56.27,53.1,6.31,17.49,0
9.19,23.46,96.86,16.13,1.37,14.33,0
11.83,22.01,67.83,14.63,5.49,22.15,0
42.57,26.85,43.53,17.83,13.77,25.05,0
7.32,33.66,83.76,34.63,2.11,22.89,0
48.74,29.02,59.73,32.68,14.22,17.43,0
35.36,27.68,79.21,29.48,10.1,22.53,0
3.27,30.22,56.78,43.05,0.84,14.4,0
1.08,21.27,74.24,18.99,0.27,12.88,0
1.59,32.47,86.33,46.92,1.73,10.88,0
0.28,31.92,95.68,10.52,2.05,6.22,0
1.49,27.95,55.67,46.96,0.65,6.39,0
17.23,35.03,60.09,39.83,4.32,7.42,0
1.11,24.36,67.86,40.99,-0.21,5.73,0
5.76,35.64,95.63,28.89,1.55,13.29,0
27.95,30.77,94.08,40.02,7.36,9.08,0
0.35,28.32,45.39,4.79,-1.07,13.51,0
25.27,29.9,47.92,51.09,9.68,12.07,0
4.97,29.46,69.73,3.33,1.79,11.19,0
1.89,36.1,46.4,8.92,-0.27,11.36,0
17.9,24.62,60.73,34.61,6.19,14.06,0
14.87,26.19,48.9,44.36,3.28,16.77,0
31.49,35.18,78.16,4.58,8.35,16.48,0
19.92,27.02,96.97,55.25,5.17,14.17,0
24.4,34.5,99.8,58.42,8.98,16.35,0
4.97,38.5,62.51,36.36,1.24,15.72,0
2.93,27.99,75.94,28.87,-1.56,25.12,0
20.83,33.41,91.38,44.48,7.46,22.12,0
24.66,24.23,47.05,19.7,7.09,18.99,0
69.86,33.77,81.37,29.6,19.11,19.67,1
7.98,31.0,64.53,54.97,2.08,22.12,0
6.98,32.37,52.37,57.34,2.61,24.63,0
22.47,26.77,64.17,55.62,7.14,26.77,0
6.25,21.69,44.56,15.75,3.67,17.69,0
40.05,32.52,81.72,13.95,11.16,20.77,0
29.32,19.68,55.16,17.86,8.84,20.23,0
8.41,28.41,58.68,26.48,1.82,14.5,0
20.85,34.71,47.26,18.85,4.71,24.3,0
21.07,30.96,91.88,22.45,7.21,16.24,0
1.63,39.74,69.61,37.24,0.95,15.46,0
34.93,35.13,74.33,45.75,10.76,17.21,0
10.56,26.73,74.17,44.13,3.59,19.76,0
26.27,30.14,64.63,48.87,7.2,16.15,0
5.79,29.76,51.55,1.93,0.73,15.92,0
33.88,22.09,84.71,2.86,10.2,16.28,0
7.39,25.3,47.62,47.36,3.38,18.59,0
0.16,27.2,46.23,31.98,1.66,12.82,0
35.37,19.82,82.61,34.69,11.41,16.49,0
1.44,30.24,52.53,3.16,0.46,18.11,0
5.77,28.75,58.41,15.32,2.0,20.3,0
44.95,21.64,68.51,38.3,13.5,23.39,0
45.12,32.02,66.96,51.55,12.51,20.11,0
12.78,33.58,82.51,55.02,3.86,19.93,0
14.99,31.14,77.41,30.03,3.16,18.02,0
8.93,28.38,78.66,32.73,2.55,14.83,0
5.21,32.96,82.84,49.98,3.2,13.69,0
5.98,33.4,57.56,32.26,2.62,11.47,0
16.74,31.54,59.34,31.01,4.1,14.03,0
20.94,25.88,66.28,54.31,6.21,15.08,0
23.52,31.38,58.45,47.4,6.22,16.35,0
23.38,35.98,99.1,54.54,6.95,13.49,0
1.43,27.02,88.84,13.09,1.47,12.37,0
10.23,40.49,49.88,31.46,3.72,8.81,0
0.89,27.37,40.34,50.55,2.75,13.83,0
11.96,30.16,42.57,6.67,4.78,13.0,0
8.74,26.64,54.64,47.68,2.83,15.55,0
32.8,31.12,46.86,10.98,10.52,10.07,0
6.48,21.29,72.0,48.49,1.74,12.14,0
1.87,27.27,91.48,36.72,-0.57,10.75,0
2.31,24.54,84.21,11.59,2.0,7.81,0
21.5,30.68,52.94,28.4,7.46,7.43,0
14.44,34.97,63.96,40.91,4.09,13.44,0
1.6,33.23,70.47,38.03,0.75,11.17,0
1.32,18.14,88.61,25.63,1.64,14.23,0
18.11,40.21,90.35,53.96,6.28,12.04,0
1.13,31.48,94.58,31.16,-1.12,10.39,0
25.88,26.12,70.55,30.35,8.01,4.78,0
18.37,30.79,81.66,3.74,5.34,20.21,0
1.27,30.88,46.71,55.33,1.49,15.95,0
1.33,26.67,73.92,10.63,1.43,16.53,0
64.73,30.99,54.92,31.7,20.74,17.19,0
7.03,26.96,65.9,48.21,0.99,20.8,0
6.95,27.98,78.04,12.93,1.3,29.04,0
25.13,26.57,55.42,31.64,8.65,33.31,0
44.13,22.84,43.13,14.44,12.65,23.93,0
64.03,30.73,40.61,45.58,17.69,24.43,0
21.0,32.93,41.33,33.86,6.83,23.48,0
7.08,32.57,40.5,51.36,1.58,24.19,0
1.31,34.1,46.62,53.67,2.18,17.3,0
22.52,31.62,54.37,38.92,7.05,14.14,0
12.26,27.34,53.27,43.52,3.84,12.96,0
8.28,34.2,99.21,32.95,2.11,9.91,0
35.52,23.21,58.36,23.07,12.25,11.31,0
1.77,25.5,47.65,38.89,0.89,12.23,0
10.18,25.18,72.73,54.5,2.64,6.64,0
0.17,35.4,91.48,25.0,-0.74,12.11,0
9.49,34.71,80.68,18.86,2.77,6.16,0
0.87,32.44,57.76,23.31,-0.72,4.75,0
1.9,35.36,73.7,26.12,1.6,5.65,0
1.88,25.6,82.89,4.41,-1.25,9.48,0
15.71,31.74,83.69,29.91,4.57,11.84,0
20.56,29.37,79.99,29.66,6.78,11.62,0
13.13,34.23,92.25,35.31,4.28,15.15,0
49.12,29.42,92.21,21.77,14.02,19.88,1
7.05,28.08,74.74,36.79,2.77,18.64,0
5.05,32.7,65.79,52.69,0.63,21.36,0
30.44,34.38,78.49,57.33,9.11,23.29,0
3.8,26.66,89.09,35.02,1.79,18.24,0
49.54,29.69,40.34,2.56,15.33,18.04,0
0.18,24.71,99.52,58.15,-0.62,25.32,0
52.54,17.51,50.97,42.35,16.96,19.28,0
0.66,31.0,68.21,20.16,0.29,29.28,0
33.27,33.04,92.32,8.83,10.72,25.02,0
11.25,31.31,53.5,8.61,4.9,24.37,0
74.35,20.25,68.61,10.06,23.42,26.17,0
1.15,28.25,47.95,2.73,1.47,26.53,0
12.11,18.91,63.7,54.13,3.82,23.58,0
52.25,36.85,50.63,32.45,16.47,22.04,0
11.11,24.57,61.82,42.0,3.55,17.2,0
14.89,36.28,62.41,49.69,3.26,16.38,0
17.85,34.73,99.59,47.49,5.66,18.69,0
9.09,25.5,99.69,52.96,2.98,15.49,0
14.82,24.34,46.89,58.04,5.03,14.62,0
13.17,31.75,83.56,26.34,3.82,13.31,0
34.71,25.78,43.1,57.02,9.65,17.89,0
0.7,30.51,41.81,43.4,0.87,19.48,0
4.95,27.59,46.32,4.24,0.17,22.61,0
45.06,21.09,97.93,40.91,14.98,16.62,1
33.15,18.85,96.45,41.2,9.71,15.6,0
9.12,31.13,51.64,54.35,2.98,18.07,0
14.52,27.19,49.7,22.38,4.91,17.98,0
4.87,27.23,54.43,35.09,2.05,9.57,0
3.13,33.48,70.93,0.73,-0.47,7.05,0
9.35,35.87,74.18,19.92,3.63,5.52,0
6.54,28.64,53.3,3.73,2.26,14.52,0
13.14,28.3,85.4,31.31,3.31,20.32,0
1.21,32.5,58.57,49.05,-0.39,24.43,0
54.97,23.22,95.33,12.39,16.16,24.76,1
64.26,31.12,79.4,31.65,17.98,28.83,0
17.97,32.76,66.18,12.24,7.11,26.44,0
11.52,33.4,87.39,7.24,4.94,26.49,0
5.56,20.32,89.07,30.66,2.12,17.72,0
25.21,26.19,57.43,4.75,7.34,16.09,0
17.31,25.61,60.38,35.24,5.0,17.54,0
2.66,30.5,96.16,1.88,1.56,18.13,0
36.27,32.4,49.88,6.4,12.64,23.1,0
25.93,37.48,42.53,33.0,7.21,23.56,0
44.88,27.53,67.24,35.48,12.35,20.58,0
19.4,27.51,88.07,1.74,7.37,28.99,0
14.26,35.75,86.3,34.4,2.49,23.06,0
8.13,31.48,95.17,50.31,1.43,23.92,0
40.49,36.34,71.99,43.34,11.9,18.05,0
30.16,31.44,46.0,7.87,7.49,16.37,0
0.69,24.21,75.32,35.55,1.32,12.85,0
0.4,23.33,86.7,40.34,0.98,24.81,0
7.09,22.24,45.6,2.23,1.55,17.41,0
24.95,33.31,50.36,51.32,8.77,13.55,0
65.46,35.94,40.74,54.38,21.09,16.47,0
2.45,39.25,75.62,51.03,0.62,22.94,0
13.53,34.22,93.2,49.48,3.61,29.53,0
7.19,35.81,80.24,44.7,4.42,29.06,0
52.56,27.1,98.92,38.01,16.49,17.73,1
27.69,24.22,43.78,40.72,8.56,19.38,0
27.33,34.25,94.18,48.38,9.56,18.82,0
9.49,32.09,88.84,39.75,3.15,18.54,0
8.04,30.54,58.85,19.66,1.91,17.47,0
4.79,31.94,98.41,22.56,1.52,16.48,0
0.87,31.62,57.28,53.82,1.3,28.81,0
30.01,36.42,93.36,1.03,7.01,39.03,0
25.14,36.47,92.84,41.93,7.25,36.59,0
122.59,32.72,85.46,57.29,38.16,45.18,1
85.42,34.23,73.81,42.37,25.12,47.78,1
